FACILITY_NAME,TYPE,ADDRESS,CITY,COUNTY,STATE,ZIP,LATITUDE,LONGITUDE,PARENT_CO_NAME,INDUSTRY,CHEMICAL,UNIT,TOT_RELEASE_19,TOT_RELEASE_18,TOT_RELEASE_17
ANHEUSER-BUSCH,BREWERY,15800 ROSCOE BLVD,VAN NUYS,LOS ANGELES,CA,91406,34.22132,-118.48044,ANHEUSER-BUSCH COS LLC,Beverages,Nitrate compounds (water dissociable; reportable only when in aqueous solution),Pounds,7281,3327,8038
ANHEUSER-BUSCH,BREWERY,15800 ROSCOE BLVD,VAN NUYS,LOS ANGELES,CA,91406,34.22132,-118.48044,ANHEUSER-BUSCH COS LLC,Beverages,Ammonia,Pounds,26974,23602.5,9989.4
ANHEUSER-BUSCH,BREWERY,3101 BUSCH DRIVE,FAIRFIELD,SOLANO,CA,94534,38.23906,-122.09023,ANHEUSER-BUSCH COS LLC,Beverages,Ammonia,Pounds,19695,5875,13049.4
CONSTELLATION BRANDS,BREWERY,12667 ROAD 24,MADERA,MADERA,CA,93637,36.931224,-120.103919,CONSTELLATION BRANDS INC,Beverages,Ammonia,Pounds,13516,9958,8000
E & J GALLO WINERY,WINERY,18000 W RIVER RD,LIVINGSTON,MERCED,CA,95334,37.381463,-120.805985,DRY CREEK CORP,Beverages,Ammonia,Pounds,7732,11432,9515
E & J GALLO WINERY,WINERY,5610 E OLIVE AVE,FRESNO,FRESNO,CA,93727,36.757277,-119.698309,DRY CREEK CORP,Beverages,Ammonia,Pounds,36456.6,56940.6,46532.3
E & J GALLO WINERY,WINERY,600 YOSEMITE BLVD,MODESTO,STANISLAUS,CA,95354,37.635278,-120.9825,DRY CREEK CORP,Beverages,Ammonia,Pounds,0,1783,1783
MOLSON COORS,BREWERY,15801 E FIRST ST,IRWINDALE,LOS ANGELES,CA,91706,34.12159,-117.93825,MOLSON COORS LLC,Beverages,Ammonia,Pounds,14354,19470.29,9646.79
GROWERS ICE,OTHER,1124 ABBOTT ST,SALINAS,MONTEREY,CA,93901,36.652778,-121.627778,NA,Beverages,Ammonia,Pounds,0,50,50
POM WONDERFUL,OTHER,5286 S. DEL REY AVE.,DEL REY,FRESNO,CA,93616,36.658356,-119.590414,NA,Beverages,Peracetic acid,Pounds,18685,17273,0
PEPSI BOTTLING GROUP,OTHER,6659 SYCAMORE CANYON BLVD,RIVERSIDE,RIVERSIDE,CA,92507,33.928522,-117.296413,PEPSICO INC,Beverages,Ammonia,Pounds,985.521,746.3704,596.2652
FRANZIA SANGER,WINERY,2916 S REED AVE,SANGER,FRESNO,CA,93657,36.69182,-119.45743,THE WINE GROUP LLC,Beverages,Ammonia,Pounds,3968,0,0
